s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.6777399E+000, 1.6614751E+003,-6.3472596E+002,-1.1284976E+002,-1.6914343E+001, 1.0458961E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2286209E+002, 8.9803098E+002, 9.8283609E-002, 9.8283609E-002
 2.6851490E+000, 1.7120473E+003,-6.4949496E+002,-1.1919432E+002,-1.7677758E+001, 1.0610415E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9250637E+002, 9.2674126E+002, 9.9457625E-002, 9.9457625E-002
 2.6925581E+000, 1.6919866E+003,-6.4592943E+002,-1.2409692E+002,-1.7709539E+001, 1.0565216E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2784572E+002, 9.0530722E+002, 9.9457625E-002, 9.9457625E-002
 2.6999671E+000, 1.7057357E+003,-6.5712174E+002,-1.2667727E+002,-1.7667176E+001, 1.0689706E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0274523E+002, 9.0533853E+002, 1.0040471E-001, 1.0040471E-001
 2.7073762E+000, 1.6849429E+003,-6.3568749E+002,-1.2979463E+002,-1.7764705E+001, 1.0655332E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0267861E+002, 9.0276160E+002, 1.0040471E-001, 1.0040471E-001
 2.7147853E+000, 1.7096463E+003,-6.5641873E+002,-1.3577694E+002,-1.8776223E+001, 1.0685773E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9976248E+002, 8.9974293E+002, 1.0053309E-001, 1.0053309E-001
 2.7221944E+000, 1.7132523E+003,-6.5843159E+002,-1.4496154E+002,-1.9671496E+001, 1.0647174E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9648343E+002, 8.9125242E+002, 1.0053309E-001, 1.0053309E-001
 2.7296035E+000, 1.7177098E+003,-6.5424768E+002,-1.5070988E+002,-1.9614468E+001, 1.0629593E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9183999E+002, 8.9420077E+002, 9.9977028E-002, 9.9977028E-002
 2.7370126E+000, 1.7157197E+003,-6.5208461E+002,-1.5461645E+002,-1.9317838E+001, 1.0590977E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9494303E+002, 8.9075987E+002, 9.9977028E-002, 9.9977028E-002
 2.7444217E+000, 1.7745507E+003,-6.9094721E+002,-1.5781605E+002,-1.9183566E+001, 1.0510518E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9176920E+002, 9.0765493E+002, 9.8909003E-002, 9.8909003E-002
 2.7525718E+000, 1.7387667E+003,-6.5716488E+002,-1.6706439E+002,-1.9833859E+001, 1.0482282E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0424345E+002, 8.9575181E+002, 9.8909003E-002, 9.8909003E-002
 2.7607219E+000, 1.7558815E+003,-6.7198241E+002,-1.7712938E+002,-2.0635619E+001, 1.0342534E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9255078E+002, 8.8716831E+002, 9.7097730E-002, 9.7097730E-002
 2.7688718E+000, 1.7766984E+003,-6.6927892E+002,-1.8490139E+002,-2.0973995E+001, 1.0323153E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8341867E+002, 9.0257638E+002, 9.7097730E-002, 9.7097730E-002
 2.7770219E+000, 1.7988722E+003,-6.9522420E+002,-1.8817786E+002,-2.0090683E+001, 1.0148373E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0406886E+002, 8.9639432E+002, 9.4977686E-002, 9.4977686E-002
 2.7851720E+000, 1.8169107E+003,-6.9225080E+002,-1.9589610E+002,-2.0431923E+001, 1.0106468E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9609642E+002, 9.0934249E+002, 9.4977686E-002, 9.4977686E-002
 2.7933218E+000, 1.8465047E+003,-7.0400463E+002,-2.0943085E+002,-2.1519746E+001, 9.9168383E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0359846E+002, 9.1254112E+002, 9.2775117E-002, 9.2775117E-002
 2.8014719E+000, 1.8856240E+003,-7.2599244E+002,-2.1764788E+002,-2.1809116E+001, 9.9052720E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1347980E+002, 9.2116503E+002, 9.2775117E-002, 9.2775117E-002
 2.8096220E+000, 1.9400589E+003,-7.4686587E+002,-2.2304421E+002,-2.1608157E+001, 9.7384893E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2275908E+002, 9.4951450E+002, 9.0878847E-002, 9.0878847E-002
 2.8177719E+000, 1.9426480E+003,-7.3591811E+002,-2.3086610E+002,-2.1912420E+001, 9.7159070E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4720162E+002, 9.5492292E+002, 9.0878847E-002, 9.0878847E-002
 2.8259220E+000, 2.0102735E+003,-7.7917722E+002,-2.4177235E+002,-2.2314463E+001, 9.5309393E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5049549E+002, 9.6796259E+002, 8.8997494E-002, 8.8997494E-002
 2.8340719E+000, 2.0377380E+003,-7.8529323E+002,-2.5055353E+002,-2.2704595E+001, 9.5071905E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6552325E+002, 9.8013736E+002, 8.8997494E-002, 8.8997494E-002
 2.8422220E+000, 2.0691101E+003,-7.9513389E+002,-2.5467015E+002,-2.2211726E+001, 9.3029434E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7980615E+002, 9.9802467E+002, 8.6854628E-002, 8.6854628E-002
 2.8503721E+000, 2.1199126E+003,-8.2815279E+002,-2.6349472E+002,-2.3293505E+001, 9.2837219E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9570140E+002, 1.0059000E+003, 8.6854628E-002, 8.6854628E-002
 2.8585219E+000, 2.1469009E+003,-8.2453168E+002,-2.6960439E+002,-2.3007634E+001, 9.1073520E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0045293E+003, 1.0306680E+003, 8.4952029E-002, 8.4952029E-002
 2.8666720E+000, 2.2108354E+003,-8.4918069E+002,-2.7751963E+002,-2.3600626E+001, 9.0897310E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0293613E+003, 1.0614435E+003, 8.4952029E-002, 8.4952029E-002
 2.8748221E+000, 2.2244075E+003,-8.6465694E+002,-2.8226325E+002,-2.3340828E+001, 8.9311663E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0635113E+003, 1.0550396E+003, 8.3293745E-002, 8.3293745E-002
 2.8829720E+000, 2.3135993E+003,-8.9245151E+002,-2.8851005E+002,-2.3901498E+001, 8.9148573E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0557391E+003, 1.1096277E+003, 8.3293745E-002, 8.3293745E-002
 2.8911221E+000, 2.2663736E+003,-8.5591897E+002,-2.9580915E+002,-2.3932354E+001, 8.7575292E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1115871E+003, 1.0915888E+003, 8.1627835E-002, 8.1627835E-002
 2.8992722E+000, 2.3881538E+003,-9.2812232E+002,-2.9793360E+002,-2.3791466E+001, 8.7430698E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0950132E+003, 1.1391807E+003, 8.1627835E-002, 8.1627835E-002
 2.9074221E+000, 2.4270020E+003,-9.2654904E+002,-3.0319814E+002,-2.4441799E+001, 8.6209113E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1398296E+003, 1.1736751E+003, 8.0109940E-002, 8.0109940E-002
 2.9155722E+000, 2.4806142E+003,-9.3866225E+002,-3.0632874E+002,-2.4823990E+001, 8.6128282E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1802124E+003, 1.2116605E+003, 8.0109940E-002, 8.0109940E-002
 2.9237223E+000, 2.5345254E+003,-9.8448023E+002,-3.0881940E+002,-2.4846435E+001, 8.5390072E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2167363E+003, 1.2172332E+003, 7.9035833E-002, 7.9035833E-002
 2.9318721E+000, 2.5680908E+003,-9.7360793E+002,-3.0811714E+002,-2.4387734E+001, 8.5485494E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2210266E+003, 1.2628329E+003, 7.9035833E-002, 7.9035833E-002
 2.9391346E+000, 2.5971269E+003,-9.7520582E+002,-3.1012659E+002,-2.4575744E+001, 8.5352074E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2637873E+003, 1.2880722E+003, 7.8391999E-002, 7.8391999E-002
 2.9463971E+000, 2.6521761E+003,-1.0349408E+003,-3.1085017E+002,-2.5099910E+001, 8.5062903E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2920453E+003, 1.2821358E+003, 7.8391999E-002, 7.8391999E-002
 2.9536595E+000, 2.6676774E+003,-1.0178050E+003,-3.0886861E+002,-2.4697149E+001, 8.4997954E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2861786E+003, 1.3171566E+003, 7.7995861E-002, 7.7995861E-002
 2.9609220E+000, 2.7239792E+003,-1.0461351E+003,-3.0785461E+002,-2.5866982E+001, 8.4843845E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3233132E+003, 1.3449710E+003, 7.7995861E-002, 7.7995861E-002
 2.9681845E+000, 2.7559103E+003,-1.0632221E+003,-3.0405762E+002,-2.5133758E+001, 8.4746614E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3514351E+003, 1.3643443E+003, 7.7531969E-002, 7.7531969E-002
 2.9754467E+000, 2.7730338E+003,-1.0592486E+003,-3.0017719E+002,-2.5102732E+001, 8.4356315E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3767808E+003, 1.3893488E+003, 7.7531969E-002, 7.7531969E-002
 2.9827092E+000, 2.7838781E+003,-1.0702489E+003,-2.9633145E+002,-2.6140054E+001, 8.3396091E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3942698E+003, 1.3919917E+003, 7.6758947E-002, 7.6758947E-002
 2.9899716E+000, 2.8211537E+003,-1.1142342E+003,-2.9160150E+002,-2.5606576E+001, 8.2737096E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3995919E+003, 1.3905388E+003, 7.6758947E-002, 7.6758947E-002
 2.9972341E+000, 2.8185829E+003,-1.0801005E+003,-2.8851744E+002,-2.6383950E+001, 8.1702939E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3989715E+003, 1.4243980E+003, 7.5360414E-002, 7.5360414E-002
 3.0044966E+000, 2.8328198E+003,-1.0943508E+003,-2.8203789E+002,-2.5507928E+001, 8.1798102E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4389733E+003, 1.4317412E+003, 7.5360414E-002, 7.5360414E-002
 3.0117590E+000, 2.8957642E+003,-1.1486946E+003,-2.7495265E+002,-2.5365969E+001, 8.1816813E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4449919E+003, 1.4475692E+003, 7.4629037E-002, 7.4629037E-002
 3.0190215E+000, 2.9049497E+003,-1.1164184E+003,-2.6669456E+002,-2.5019272E+001, 8.1740449E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4559467E+003, 1.4976348E+003, 7.4629037E-002, 7.4629037E-002
 3.0262840E+000, 2.9213559E+003,-1.1491057E+003,-2.5860704E+002,-2.4890236E+001, 8.1851299E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5058125E+003, 1.4895714E+003, 7.4515695E-002, 7.4515695E-002
 3.0335464E+000, 2.8999543E+003,-1.1377920E+003,-2.5261906E+002,-2.5941685E+001, 8.1500238E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4948576E+003, 1.4844166E+003, 7.4515695E-002, 7.4515695E-002
 3.0408087E+000, 2.9243945E+003,-1.1403602E+003,-2.4491626E+002,-2.6462503E+001, 8.1099426E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4937102E+003, 1.5134665E+003, 7.4046202E-002, 7.4046202E-002
 3.0480711E+000, 2.9359445E+003,-1.1501663E+003,-2.3639199E+002,-2.5442371E+001, 8.0649533E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5227072E+003, 1.5247504E+003, 7.4046202E-002, 7.4046202E-002
 3.0553336E+000, 2.9410460E+003,-1.1442554E+003,-2.2732505E+002,-2.4168799E+001, 7.9892564E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5357157E+003, 1.5460957E+003, 7.3312904E-002, 7.3312904E-002
 3.0625961E+000, 2.9657405E+003,-1.1398582E+003,-2.1966650E+002,-2.5137236E+001, 7.9138073E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5614427E+003, 1.5818699E+003, 7.3312904E-002, 7.3312904E-002
 3.0698586E+000, 2.9321474E+003,-1.1237859E+003,-2.1365689E+002,-2.5451291E+001, 7.8393835E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5918999E+003, 1.5700372E+003, 7.2602657E-002, 7.2602657E-002
 3.0771210E+000, 3.0396553E+003,-1.1892516E+003,-2.0493830E+002,-2.4821675E+001, 7.8207311E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5783997E+003, 1.6214258E+003, 7.2602657E-002, 7.2602657E-002
 3.0843835E+000, 2.9554612E+003,-1.1247429E+003,-1.9760917E+002,-2.4840559E+001, 7.7163605E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6322526E+003, 1.6090403E+003, 7.1867566E-002, 7.1867566E-002
 3.0916460E+000, 3.0554972E+003,-1.1895243E+003,-1.9105309E+002,-2.5149915E+001, 7.6679018E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6150303E+003, 1.6505367E+003, 7.1867566E-002, 7.1867566E-002
 3.0989084E+000, 3.0785744E+003,-1.1972011E+003,-1.8547639E+002,-2.5714166E+001, 7.4970880E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6609595E+003, 1.6709324E+003, 7.0954927E-002, 7.0954927E-002
 3.1061707E+000, 3.1101923E+003,-1.1954231E+003,-1.8035746E+002,-2.5470104E+001, 7.4799120E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6815063E+003, 1.7096896E+003, 7.0954927E-002, 7.0954927E-002
 3.1134331E+000, 3.1739358E+003,-1.2317454E+003,-1.7651356E+002,-2.5055488E+001, 7.3709140E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7158695E+003, 1.7413584E+003, 6.9860284E-002, 6.9860284E-002
 3.1206956E+000, 3.1252572E+003,-1.2214818E+003,-1.7318490E+002,-2.5001778E+001, 7.3064218E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7466281E+003, 1.7063194E+003, 6.9860284E-002, 6.9860284E-002
 3.1279581E+000, 3.2357781E+003,-1.2715390E+003,-1.6964317E+002,-2.4749389E+001, 7.1411207E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7124960E+003, 1.7705607E+003, 6.8762138E-002, 6.8762138E-002
 3.1352205E+000, 3.2518987E+003,-1.2479686E+003,-1.6955707E+002,-2.6637196E+001, 7.0744226E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7747616E+003, 1.8084432E+003, 6.8762138E-002, 6.8762138E-002
 3.1424830E+000, 3.3247939E+003,-1.2951089E+003,-1.6993060E+002,-2.6590360E+001, 6.9097828E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8171399E+003, 1.8338551E+003, 6.7698659E-002, 6.7698659E-002
